date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:33	4220/4220	---M-Z	200	added ('OK')	text/css	etag:%22107c-607430ca42294-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/nouislider/nouislider.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/nouislider/nouislider.min.css	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:34	158371/158371	---M--	200	added ('OK')	image/jpeg	etag:%2226aa3-607430c9f5fd2%22	https://themesbrand.com/borex-symfony/layouts/assets/images/auth-bg.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/auth-bg.jpg	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:34	415287/415287	---M--	200	added ('OK')	image/jpeg	etag:%2265637-607430c9f5032%22	https://themesbrand.com/borex-symfony/layouts/assets/images/auth-bg-1.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/auth-bg-1.jpg	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:35	498551/498551	---M--	200	added ('OK')	image/jpeg	etag:%2279b77-607430c9f5032%22	https://themesbrand.com/borex-symfony/layouts/assets/images/auth-bg-2.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/auth-bg-2.jpg	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:35	681957/681957	---M--	200	added ('OK')	image/png	etag:%22a67e5-607430c9fadf2%22	https://themesbrand.com/borex-symfony/layouts/assets/images/product/img-1.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/product/img-1.png	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:36	25987/25987	---M--	200	added ('OK')	image/jpeg	etag:%226583-607430c9fadf2%22	https://themesbrand.com/borex-symfony/layouts/assets/images/product/img-1.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/product/img-1.jpg	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:36	28431/28431	---M--	200	added ('OK')	image/jpeg	etag:%226f0f-607430c9fadf2%22	https://themesbrand.com/borex-symfony/layouts/assets/images/product/img-2.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/product/img-2.jpg	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:36	668213/668213	---M--	200	added ('OK')	image/png	etag:%22a3235-607430c9fbd92%22	https://themesbrand.com/borex-symfony/layouts/assets/images/product/img-2.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/product/img-2.png	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:36	25736/25736	---M--	200	added ('OK')	image/jpeg	etag:%226488-607430c9fbd92%22	https://themesbrand.com/borex-symfony/layouts/assets/images/product/img-3.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/product/img-3.jpg	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:36	20914/20914	---M--	200	added ('OK')	image/jpeg	etag:%2251b2-607430c9fbd92%22	https://themesbrand.com/borex-symfony/layouts/assets/images/product/img-4.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/product/img-4.jpg	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
